CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,imcome_cat,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
708286683,0,57,M,2,Uneducated,Single,$80K - $120K,Blue,43,6,3,1,12045.0,1749.0,10296.0,,4884.0,,,
708288108,1,43,M,4,Post-Graduate,Unknown,$80K - $120K,Blue,30,2,5,3,5639.0,1547.0,4092.0,1.087,,15.0,0.364,0.274
708290208,0,43,F,3,High School,Married,,Silver,31,3,3,4,13608.0,1190.0,12418.0,0.553,3118.0,,0.767,0.087
708292833,0,35,M,2,High School,Single,,Blue,36,4,2,3,27389.0,1250.0,26139.0,0.641,2754.0,,0.463,0.046
708298233,1,49,F,3,Graduate,Married,Less than $40K,Blue,37,4,2,1,6184.0,0.0,6184.0,0.476,,,0.324,0.0
708301683,1,40,M,2,Uneducated,Married,$80K - $120K,Blue,30,6,2,3,20798.0,1059.0,19739.0,1.049,8038.0,,0.837,
708303108,0,50,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,0,1770.0,1706.0,64.0,0.626,4940.0,,0.774,0.964
708313608,0,53,M,3,Unknown,Married,$80K - $120K,Blue,43,5,3,0,2464.0,2116.0,348.0,0.744,,,1.048,0.859
708314808,0,53,F,2,College,Married,Unknown,Blue,41,5,1,3,5659.0,1393.0,4266.0,0.436,1570.0,40.0,0.6,
708316008,1,59,F,1,Graduate,Single,Unknown,Blue,36,3,2,3,10031.0,0.0,10031.0,,1792.0,,,0.0
708319908,1,37,M,3,Graduate,Single,$80K - $120K,Blue,17,1,1,2,4116.0,,2643.0,,8667.0,70.0,0.892,0.358
708323208,1,49,F,3,Uneducated,Married,Less than $40K,Blue,36,4,2,4,1522.0,,1522.0,0.482,2241.0,,0.8,0.0
708330858,1,57,M,3,Graduate,Married,,Blue,38,2,3,3,8249.0,1381.0,6868.0,0.798,678.0,11.0,0.833,
708331758,0,47,F,2,Uneducated,Divorced,Unknown,Silver,35,3,1,4,32444.0,,30601.0,1.127,3725.0,60.0,0.622,0.057
708332808,0,47,M,2,Uneducated,Married,$40K - $60K,Blue,39,2,2,2,3471.0,0.0,3471.0,,14381.0,115.0,0.742,
708334158,0,46,,3,Graduate,Divorced,Less than $40K,Blue,34,4,2,4,9863.0,686.0,9177.0,,3068.0,,0.933,
708338958,0,58,F,1,Graduate,Single,Less than $40K,Blue,36,5,1,1,3173.0,1713.0,1460.0,0.609,3797.0,,0.786,0.54
708340758,1,41,M,4,High School,Married,Less than $40K,Blue,32,2,3,3,7769.0,0.0,7769.0,,8109.0,74.0,0.762,0.0
708347583,0,37,F,4,Uneducated,Married,Less than $40K,Blue,36,4,1,4,2509.0,1144.0,1365.0,0.692,1804.0,38.0,0.583,0.456
708358683,0,46,M,2,Graduate,Married,$80K - $120K,Silver,35,6,3,2,34516.0,,33280.0,,1665.0,,0.667,0.036
708360108,0,50,M,1,College,Single,$40K - $60K,Blue,41,3,1,1,2800.0,,1462.0,0.818,4869.0,,0.8,
708361833,0,44,M,4,Graduate,Married,$80K - $120K,Blue,36,3,2,3,19430.0,0.0,19430.0,1.012,3650.0,80.0,0.633,0.0
708367908,0,56,F,1,Uneducated,Married,Less than $40K,Blue,47,6,1,2,3022.0,,1395.0,,4390.0,82.0,0.783,0.538
708369633,1,34,F,3,Graduate,Married,Less than $40K,Gold,36,6,3,2,15487.0,1847.0,13640.0,0.943,7031.0,67.0,,0.119
708373083,1,40,F,4,Unknown,Married,$40K - $60K,Blue,30,1,3,4,3356.0,2517.0,839.0,,2032.0,39.0,,0.75
708376983,1,58,F,1,Unknown,Single,Unknown,Blue,50,5,2,2,8513.0,,7714.0,,2119.0,37.0,0.542,0.094
708378108,0,39,F,1,Post-Graduate,Married,$40K - $60K,Blue,36,5,3,2,2147.0,,1376.0,0.69,4631.0,76.0,0.767,
708382083,0,49,M,5,High School,Married,$80K - $120K,Blue,36,6,2,2,2292.0,0.0,2292.0,0.976,2584.0,,0.5,
708384033,1,45,F,3,Uneducated,Married,Less than $40K,Blue,35,3,3,3,2745.0,2463.0,282.0,0.643,2466.0,39.0,0.345,0.897
708385533,1,49,F,1,Graduate,Married,,Silver,36,2,3,3,11059.0,0.0,11059.0,,,,0.905,0.0
708386958,1,47,F,3,Unknown,Married,Less than $40K,Blue,34,3,3,2,1561.0,0.0,1561.0,,1947.0,28.0,0.556,0.0
708387933,0,49,F,2,Post-Graduate,Married,Less than $40K,Blue,37,2,1,2,5500.0,,5500.0,0.675,14357.0,110.0,0.618,0.0
708390633,0,52,F,3,Graduate,Married,Less than $40K,Blue,44,5,5,3,2421.0,2312.0,109.0,,4219.0,69.0,,0.955
708393633,0,41,F,0,High School,Married,Less than $40K,Blue,31,4,2,4,2685.0,1647.0,1038.0,0.812,4625.0,94.0,0.516,0.613
708396033,0,45,F,2,Uneducated,Married,,Blue,27,1,2,2,2490.0,1059.0,1431.0,0.715,,,,
708397008,0,54,F,4,Graduate,Married,Unknown,Blue,43,3,2,3,3805.0,821.0,2984.0,,4326.0,67.0,0.811,0.216
708398283,0,37,,1,Graduate,Married,,Blue,29,5,2,2,4394.0,,3509.0,1.04,1377.0,32.0,0.684,0.201
708399858,0,45,F,3,High School,Married,Less than $40K,Blue,35,2,2,1,2548.0,2250.0,298.0,0.581,4747.0,77.0,0.791,0.883
708403308,0,37,M,3,Unknown,Single,$40K - $60K,Silver,24,3,1,3,15133.0,1663.0,13470.0,,4392.0,,0.511,0.11
708406083,0,35,,0,Unknown,Married,Less than $40K,Blue,24,5,3,1,3436.0,2493.0,943.0,,5211.0,90.0,,0.726
708412758,1,33,F,3,Graduate,Single,Less than $40K,Blue,36,5,2,3,1457.0,,1457.0,0.677,2200.0,45.0,0.364,0.0
708414033,0,50,M,4,Graduate,Married,$40K - $60K,Blue,38,6,3,3,2845.0,1153.0,1692.0,,,,0.941,
708416433,1,41,F,1,High School,Single,Less than $40K,Blue,36,4,3,2,2372.0,0.0,2372.0,0.597,2499.0,41.0,,0.0
708419733,1,47,M,3,College,Single,,Blue,39,5,3,2,22599.0,0.0,22599.0,1.039,4739.0,,0.486,0.0
708421833,0,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,3,2,3342.0,2517.0,825.0,0.771,1139.0,30.0,0.765,0.753
708423933,0,51,M,2,Doctorate,Single,$40K - $60K,Blue,40,3,2,0,6103.0,,6103.0,0.532,3203.0,64.0,0.829,
708426483,0,56,F,2,Graduate,Single,Less than $40K,Blue,36,4,6,1,5816.0,,5100.0,,3534.0,73.0,1.147,0.123
708427908,0,52,,4,College,Unknown,Less than $40K,Blue,39,6,3,1,2035.0,1343.0,692.0,0.835,4643.0,,,
708428958,0,39,M,2,Unknown,Single,$80K - $120K,Gold,33,1,3,2,34516.0,0.0,34516.0,0.724,9179.0,113.0,0.766,
708431433,0,41,M,3,Graduate,Married,$120K +,Blue,31,3,3,2,11789.0,1420.0,10369.0,0.659,1463.0,,0.684,0.12
708434733,0,56,M,1,Graduate,Married,$60K - $80K,Blue,50,6,3,3,6735.0,2289.0,4446.0,,1249.0,28.0,0.75,0.34
708438033,0,36,F,2,Unknown,Married,Less than $40K,Blue,27,3,3,4,3049.0,2198.0,851.0,,2617.0,,1.0,
708442158,0,51,F,1,College,Married,Unknown,Blue,38,3,2,4,6182.0,1516.0,4666.0,1.137,,61.0,0.968,0.245
708445608,0,48,M,3,College,Married,Less than $40K,Blue,37,4,3,3,3305.0,2517.0,788.0,0.766,2027.0,,1.036,0.762
708447858,0,59,F,2,Uneducated,Married,Less than $40K,Blue,36,6,3,2,3850.0,,3850.0,0.509,15107.0,,0.918,0.0
708450033,0,43,F,3,High School,Unknown,,Blue,13,6,2,1,2605.0,2269.0,336.0,0.881,5298.0,,,
708451233,0,46,F,3,Graduate,Unknown,Less than $40K,Blue,36,5,3,4,5090.0,1650.0,3440.0,0.58,3707.0,72.0,0.44,
708453408,0,40,M,4,College,Divorced,$80K - $120K,Blue,31,6,2,3,16050.0,0.0,16050.0,0.77,3721.0,62.0,0.512,
708455883,1,57,M,1,Graduate,Single,$80K - $120K,Blue,36,2,3,2,10244.0,,9383.0,0.78,1127.0,29.0,0.381,0.084
708459633,0,38,M,2,High School,Married,,Blue,26,4,1,3,5815.0,1698.0,4117.0,0.896,1604.0,,0.448,0.292
708462258,0,51,F,1,High School,Married,Less than $40K,Blue,38,1,1,2,5189.0,1171.0,4018.0,0.732,16563.0,94.0,0.741,0.226
708469533,0,42,F,3,Unknown,Married,,Blue,34,6,3,2,5395.0,1439.0,3956.0,,3523.0,79.0,0.717,
708472008,0,44,F,3,Uneducated,Married,Less than $40K,Blue,36,2,3,3,6680.0,1839.0,4841.0,0.617,7632.0,95.0,,0.275
708473133,0,55,F,1,Graduate,Married,Less than $40K,Blue,45,4,2,3,1677.0,0.0,1677.0,0.824,4588.0,,0.7,0.0
708474333,0,42,,3,Graduate,Married,$60K - $80K,Blue,29,3,3,1,12294.0,2517.0,9777.0,0.775,7906.0,,0.611,
708476808,0,54,M,4,Unknown,Divorced,,Blue,36,6,3,2,33791.0,1960.0,31831.0,0.618,1047.0,,0.824,0.058
708478233,0,48,,3,Graduate,Married,$40K - $60K,Blue,36,4,2,2,5573.0,1238.0,4335.0,0.624,4348.0,90.0,0.837,
708480333,0,65,M,0,Unknown,Single,$40K - $60K,Blue,36,5,2,3,2163.0,932.0,1231.0,1.127,,57.0,0.839,0.431
708482658,0,41,M,3,Graduate,Married,$80K - $120K,Blue,31,3,2,2,9959.0,1946.0,8013.0,,15594.0,114.0,0.676,0.195
708483708,0,51,M,2,Unknown,Married,$120K +,Blue,36,5,3,2,28600.0,0.0,28600.0,,4336.0,66.0,,
708486033,0,55,F,3,Post-Graduate,Married,Unknown,Blue,36,3,2,3,16547.0,1521.0,15026.0,0.555,1782.0,,0.333,0.092
708491508,0,51,M,2,Unknown,Single,$60K - $80K,Blue,42,3,3,2,13906.0,1430.0,12476.0,0.772,,,,
708492558,0,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865.0,14223.0,0.939,,,,0.057
708496833,1,60,M,1,High School,Single,Less than $40K,Blue,50,4,4,5,4613.0,0.0,4613.0,0.978,,,1.294,0.0
708498033,1,44,F,3,Unknown,Married,,Blue,36,3,4,6,2279.0,1837.0,442.0,0.853,,52.0,,0.806
708499608,0,49,M,5,Post-Graduate,Single,$40K - $60K,Silver,36,6,1,2,15525.0,1299.0,14226.0,,,78.0,,0.084
708501783,1,43,M,2,High School,Married,,Blue,36,6,2,4,34516.0,1477.0,33039.0,0.324,1868.0,40.0,0.212,0.043
708502908,0,61,M,2,High School,Single,$60K - $80K,Silver,48,5,2,3,26218.0,,26218.0,0.74,,,0.833,0.0
708504783,0,47,,3,Uneducated,Unknown,,Blue,36,3,3,3,10960.0,1333.0,9627.0,0.678,3480.0,,0.632,0.122
708506508,0,54,M,3,High School,Married,$120K +,Blue,43,5,3,2,2884.0,,1740.0,0.783,4887.0,,,0.397
708507483,0,43,F,3,College,Divorced,Less than $40K,Blue,31,6,4,3,1477.0,,1477.0,0.756,4802.0,82.0,0.864,0.0
708508758,1,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0.0,1438.3,1.047,692.0,16.0,0.6,0.0
708511983,0,37,M,3,Graduate,Married,,Blue,18,5,3,2,1663.0,0.0,1663.0,0.778,3950.0,82.0,,
708513183,0,39,M,1,Uneducated,Married,$40K - $60K,Blue,29,4,2,2,4323.0,1267.0,3056.0,1.102,3078.0,58.0,,0.293
708514383,0,38,F,2,College,Married,,Blue,29,2,1,0,3809.0,1172.0,2637.0,,,81.0,0.976,0.308
708515358,0,40,F,1,High School,Married,Less than $40K,Blue,36,6,3,2,4712.0,0.0,4712.0,0.84,,,0.64,
708516558,0,37,F,2,High School,Married,Less than $40K,Blue,36,3,2,1,2588.0,1782.0,806.0,0.546,4159.0,83.0,0.766,
708519108,1,46,F,1,Graduate,Married,Unknown,Blue,24,3,3,2,2694.0,1576.0,1118.0,0.494,2041.0,57.0,0.9,0.585
708522033,0,50,M,2,College,Married,$60K - $80K,Blue,36,2,2,1,12299.0,,10635.0,0.879,15060.0,,,0.135
708525108,0,54,F,2,Graduate,Married,Unknown,Blue,47,4,3,3,2156.0,1134.0,1022.0,,4120.0,,0.711,0.526
708532308,0,37,M,2,Uneducated,Single,$60K - $80K,Blue,36,4,2,2,11419.0,2517.0,8902.0,1.211,3000.0,,1.059,0.22
708534033,0,45,F,3,Graduate,Single,$40K - $60K,Blue,36,5,2,2,6274.0,883.0,5391.0,0.626,4726.0,,0.708,0.141
708535158,0,39,M,2,Post-Graduate,Unknown,$80K - $120K,Blue,29,1,1,3,9959.0,1501.0,8458.0,,,86.0,0.536,
708536283,1,35,M,1,Doctorate,Single,$80K - $120K,Blue,27,3,2,2,2904.0,2517.0,387.0,,,46.0,0.586,0.867
708539583,0,44,F,3,Unknown,Married,Unknown,Blue,25,6,1,3,19897.0,2232.0,17665.0,0.672,,,0.5,
708542283,0,58,F,1,Doctorate,Married,Less than $40K,Blue,47,5,3,4,2495.0,2061.0,434.0,0.849,,70.0,0.707,0.826
708543258,0,36,M,3,High School,Married,$80K - $120K,Blue,36,5,3,2,2607.0,1880.0,727.0,1.464,2045.0,,0.95,
708545058,0,45,F,2,Graduate,Single,$40K - $60K,Blue,36,5,4,3,1438.3,986.0,452.3,0.649,5136.0,81.0,0.8,0.686
708549033,0,50,F,1,High School,Married,Less than $40K,Blue,32,4,1,3,2055.0,1276.0,779.0,0.869,5025.0,,0.707,
708555633,0,32,F,1,High School,Single,Less than $40K,Blue,16,2,3,1,3548.0,2517.0,1031.0,,15157.0,97.0,0.865,0.709
708557358,0,43,M,2,College,Married,$60K - $80K,Blue,28,4,2,3,22157.0,1355.0,20802.0,0.69,1911.0,55.0,0.571,0.061
708558408,0,50,M,3,High School,Single,$40K - $60K,Blue,31,5,3,3,9949.0,1597.0,8352.0,0.659,,,0.596,0.161
708559533,0,40,M,1,Uneducated,Married,$80K - $120K,Blue,36,6,3,2,1770.0,584.0,1186.0,,,83.0,0.844,
708560733,0,42,F,3,Graduate,Divorced,Less than $40K,Blue,36,5,2,3,3714.0,2517.0,1197.0,,4715.0,85.0,,0.678
708563433,1,65,F,0,High School,Single,,Blue,56,3,6,3,5894.0,,5417.0,1.015,1616.0,32.0,0.455,0.081
708564858,1,33,M,2,College,Married,$120K +,Gold,20,2,1,4,34516.0,0.0,34516.0,1.004,9338.0,73.0,0.622,
708568983,0,40,M,3,High School,Married,$60K - $80K,Blue,28,2,3,1,11476.0,2365.0,9111.0,0.65,8110.0,,0.766,0.206
708572658,0,49,M,5,Graduate,Married,$60K - $80K,Silver,38,1,1,2,29531.0,2088.0,27443.0,0.843,15039.0,120.0,0.69,0.071
708573933,0,45,F,2,Unknown,Single,,Silver,36,2,2,3,13026.0,,12237.0,0.74,14747.0,,,0.061
708575058,1,46,F,3,Uneducated,Divorced,$40K - $60K,Blue,39,2,3,2,3157.0,965.0,2192.0,,3300.0,58.0,,
708577308,0,43,F,1,Unknown,Divorced,Less than $40K,Blue,36,4,2,3,2637.0,1272.0,1365.0,0.728,,39.0,1.053,
708579633,0,40,M,4,Unknown,Divorced,$40K - $60K,Gold,28,4,2,2,23981.0,1788.0,22193.0,0.631,1421.0,,0.308,0.075
708580908,0,56,M,3,High School,Married,$60K - $80K,Blue,37,3,3,3,14551.0,,12034.0,0.92,,35.0,0.591,0.173
708582858,0,38,M,3,Graduate,Single,$60K - $80K,Blue,25,3,3,4,18293.0,0.0,18293.0,,2958.0,63.0,0.432,0.0
708584208,1,36,F,2,Graduate,Unknown,Less than $40K,Blue,36,5,2,4,3111.0,2517.0,594.0,0.646,,41.0,,
708585933,0,44,F,4,High School,Single,,Blue,36,6,2,3,1656.0,1429.0,227.0,,4258.0,77.0,0.75,0.863
708588408,0,53,M,3,Uneducated,Single,,Blue,36,6,2,2,6836.0,1607.0,5229.0,0.524,4421.0,74.0,0.542,0.235
708593883,0,39,M,2,College,Married,$60K - $80K,Blue,26,3,1,4,2731.0,,1158.0,0.943,1813.0,,0.727,0.576
708595158,0,27,F,0,Graduate,Single,Less than $40K,Blue,36,6,1,2,1677.0,,79.0,0.994,2389.0,,0.536,
708596283,0,35,,3,Uneducated,Single,,Blue,23,3,2,2,2858.0,1251.0,1607.0,0.576,2844.0,73.0,0.622,0.438
708600033,0,46,M,2,Graduate,Married,$40K - $60K,Blue,39,4,3,1,1610.0,,1610.0,0.689,,87.0,0.776,0.0
708602283,0,40,F,4,Uneducated,Married,,Blue,36,3,3,1,2887.0,0.0,2887.0,0.581,,,1.158,
708606633,1,56,F,3,Graduate,Married,$40K - $60K,Blue,44,6,3,4,1544.0,0.0,1544.0,0.315,1902.0,,0.4,0.0
708611733,0,42,F,1,College,Married,,Blue,33,4,4,3,3119.0,1328.0,1791.0,0.967,4659.0,82.0,,
708614058,0,56,F,2,Graduate,Divorced,Less than $40K,Blue,45,4,2,4,1960.0,1690.0,270.0,0.63,,67.0,0.558,
